index,pv,demand,battery,money
0,0,0,10,480
1,0,0,10,480
2,0,0,10,480
3,0,0,10,480
4,0,0,10,480
5,0,0,10,480
6,0,0,10,480
7,0,0,10,480
8,0,0,10,480
9,0,0,10,480
10,0,0,10,480
11,0,0,10,480
12,0,0,10,480
13,0,0,10,480
14,0,0,10,480
15,0,0,10,480
16,0,0,10,480
17,0,0,10,480
18,0,0,10,480
19,0,0,10,480
20,0,0,10,480
21,0,0,10,480
22,0,0,10,480
23,0,0,10,480
24,0,0,10,480
25,0,0,10,480
26,0,0,10,480
27,0,0,10,480
28,0,0,10,480
29,0,0,10,480
30,0,0,10,480
31,0,0,10,480
32,0,0,10,480
33,0,0,10,480
34,0,0,10,480
35,0,0,10,480
36,0,0,10,480
37,0,0,10,480
38,0,0,10,480
39,0,0,10,480
40,0,0,10,480
41,0,0,10,480
42,0,0,10,480
43,0,0,10,480
44,0,0,10,480
45,0,0,10,480
46,0,0,10,480
47,0,0,10,480
48,0,0,10,480
49,0,0,10,480
50,0,0,10,480
51,0,0,10,480
52,0,0,10,480
53,0,0,10,480
54,0,0,10,480
55,0,0,10,480
56,0,0,10,480
57,0,0,10,480
58,0,0,10,480
59,0,0,10,480
60,0,0,10,480
61,0,0,10,480
62,0,0,10,480
63,0,0,10,480
64,0,0,10,480
65,0,0,10,480
66,0,0,10,480
67,0,0,10,480
68,0,0,10,480
69,0,0,10,480
70,0,0,10,480
71,0,0,10,480
72,0,0,10,480
73,0,0,10,480
74,0,0,10,480
75,0,0,10,480
76,0,0,10,480
77,0,0,10,480
78,0,0,10,480
79,0,0,10,480
80,0,0,10,480
81,0,0,10,480
82,0,0,10,480
83,0,0,10,480
84,0,0,10,480
85,0,0,10,480
86,0,0,10,480
87,0,0,10,480
88,0,0,10,480
89,0,0,10,480
90,0,0,10,480
91,0,0,10,480
92,0,0,10,480
93,0,0,10,480
94,0,0,10,480
95,0,0,10,480
96,0,0,10,480
97,0,0,10,480
98,0,0,10,480
99,0,0,10,480
